index,term,polarity,termFrom,termTo,context
1316,wine list,2,4,13,The wine list is interesting and has many good values.
1317,food,0,42,46,I'm still mad that i had to pay for lousy food.
1318,Indian restaurant food,2,35,57,Definite go if you're used to good Indian restaurant food from abroad.
1319,AT MOSHPHERE,2,4,16,"THR AT MOSHPHERE IS COMPACT, MODERN, YET COZY."
1320,pizza,2,17,22,"By far, the best pizza in Manhattan."
1321,Thai food,2,7,16,"Decent Thai food in cute - though a bit dank - little Nolita hangout, BUT service terrible."
1322,service,0,74,81,"Decent Thai food in cute - though a bit dank - little Nolita hangout, BUT service terrible."
1323,waiter,0,4,10,The waiter actually poured water on my hand and walked away.
1324,water,1,27,32,The waiter actually poured water on my hand and walked away.
1325,food,2,4,8,"The food is mostly made from scratch, fresh and well prepared."
1326,bill,0,51,55,"Worse of all, $60 was erroneously added to our $80 bill."
1327,reservations,2,8,20,"NO more reservations, expensive tips and annoying stuff."
1328,tips,2,32,36,"NO more reservations, expensive tips and annoying stuff."
1329,stuff,2,50,55,"NO more reservations, expensive tips and annoying stuff."
1330,sea bass,2,8,16,Try the sea bass.
1331,sushi,2,23,28,$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.
1332,sushi places,2,122,134,$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.
1333,quality,2,44,51,$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.
1334,Sushi,1,0,5,Sushi wasn't anything spectacular for the price.
1335,price,0,42,47,Sushi wasn't anything spectacular for the price.
1336,management,2,21,31,"During our meal, the management came over and checked on us and even bought us a round of drinks."
1337,meal,1,11,15,"During our meal, the management came over and checked on us and even bought us a round of drinks."
1338,round of drinks,1,81,96,"During our meal, the management came over and checked on us and even bought us a round of drinks."
1339,toaster,0,22,29,"But they don't have a toaster, which is strange."
1340,food,2,13,17,"So, for good food i'd recommend it, but not for a fun night out."
1341,taste,0,37,42,The menu choices are similar but the taste lacked more flavor than it looked.
1342,menu choices,1,4,16,The menu choices are similar but the taste lacked more flavor than it looked.
1343,flavor,0,55,61,The menu choices are similar but the taste lacked more flavor than it looked.
1344,Dosa,2,19,23,A must for all the Dosa lovers.
1345,portions,2,4,12,"The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people."
1346,appetizer,1,91,100,"The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people."
1347,entree,1,105,111,"The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people."
1348,main courses,0,35,47,The appetizers are just OK and the main courses were decidedly subpar.
1349,dessert,0,29,36,Someone else recommended the dessert - we also left that.
1350,exotic food,2,4,15,The exotic food is beautifully presented and is a delight in delicious combinations.
1351,staff,2,4,9,The staff is very attentive and we can almost always get a table.
1352,table,2,59,64,The staff is very attentive and we can almost always get a table.
1353,mediterranean salad,2,8,27,"Try the mediterranean salad, it is a true experience for your taste buds!!"
1354,People,2,0,6,People are always friendly.
1355,cream cheeses,2,4,17,The cream cheeses are out of this world and I love that coffee!!
1356,coffee,2,56,62,The cream cheeses are out of this world and I love that coffee!!
1357,entrees,2,9,16,"From the entrees to the sides to the drinks, everything was creatively prepared yet still simple."
1358,sides,2,24,29,"From the entrees to the sides to the drinks, everything was creatively prepared yet still simple."
1359,drinks,2,37,43,"From the entrees to the sides to the drinks, everything was creatively prepared yet still simple."
1360,Service,2,0,7,Service was prompt and courteous.
1361,beef version,0,34,46,It was not above ordinary and the beef version had cheap (undercooked) beef.
1362,beef,0,71,75,It was not above ordinary and the beef version had cheap (undercooked) beef.
1363,decor,2,67,72,"Chance is a small cozy restaurant, with a romantic feel to it, the decor is great."
1364,thai,0,74,78,"It was nice and fresh, but I can't give it high scores on being authentic thai."
1365,"club soda, filled with ice, no lime",1,4,39,"Got club soda, filled with ice, no lime."
1366,wine,1,5,9,"Only wine and beer are served, but the house varities are actually quite good."
1367,beer,1,14,18,"Only wine and beer are served, but the house varities are actually quite good."
1368,house varities,2,39,53,"Only wine and beer are served, but the house varities are actually quite good."
1369,served,0,23,29,"Only wine and beer are served, but the house varities are actually quite good."
1370,owners,1,30,36,This place must have cost the owners afortune to build.
1371,cost,0,21,25,This place must have cost the owners afortune to build.
1372,pudding dessert,2,26,41,"Oh, and the complimentary pudding dessert was just enough- yummy!"
1373,malai tikka wrap,2,42,58,we split a tasty vegetable samosa and the malai tikka wrap.
1374,chef,0,17,21,Knowledge of the chef and the waitress are below average.
1375,waitress,0,30,38,Knowledge of the chef and the waitress are below average.
1376,drinks,1,74,80,We were walking around the village and went into this place just for some drinks.
1377,wine selection,2,7,21,Decent wine selection too.
1378,bar,0,72,75,"It saves walking in and waiting for a table in the often noisy, crowded bar at dinnertime."
1379,table,0,38,43,"It saves walking in and waiting for a table in the often noisy, crowded bar at dinnertime."
1380,meal,2,46,50,I have to say I have never had a disapointing meal here.
1381,goat cheese,2,49,60,Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).
1382,panchetta,2,65,74,Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).
1383,service,0,26,33,"Disappointing food, lousy service."
1384,service,2,75,82,"If you want a casual neighborhood bistro that has great food and excellent service, this is the place."
1385,kinds of beer,2,56,69,great place to go for a drink too because they have 100 kinds of beer.
1386,drink,1,24,29,great place to go for a drink too because they have 100 kinds of beer.
1387,price,0,5,10,"Over price, and small portions ."
1388,portions,0,22,30,"Over price, and small portions ."
1389,bartender,2,15,24,"Meanwhile, the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil, gratis."
1390,champagne,1,43,52,"Meanwhile, the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil, gratis."
1391,turnip soup with pureed basil,2,130,159,"Meanwhile, the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil, gratis."
1392,food,2,4,8,The food was well prepared and the service impecable.
1393,service,2,35,42,The food was well prepared and the service impecable.
1394,dish,2,15,19,"BUt their best dish is thh Thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here."
1395,Thai spiced curry noodles with shrimp,2,27,64,"BUt their best dish is thh Thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here."
1396,dish,2,69,73,"BUt their best dish is thh Thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here."
1397,cost,2,85,89,"BUt their best dish is thh Thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here."
1398,music,2,30,35,"Good, dark atmosphere and the music is a nice touch."
1399,portions,0,20,28,"My husband said the portions were very small, but if my main course was good to eat the portion would've been fine for me."
1400,portion,2,88,95,"My husband said the portions were very small, but if my main course was good to eat the portion would've been fine for me."
1401,main course,0,56,67,"My husband said the portions were very small, but if my main course was good to eat the portion would've been fine for me."
1402,thai,0,8,12,But the thai is definitely not great -- bland and indistinguished.
1403,brunch,2,52,58,"Great for groups, great for a date, great for early brunch or a nightcap."
1404,nightcap,2,64,72,"Great for groups, great for a date, great for early brunch or a nightcap."
1405,food suggestions,2,31,47,Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.
1406,server,2,13,19,Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.
1407,sommelier,2,71,80,Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.
1408,fromager,2,89,97,Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.
1409,cheese,1,159,165,Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.
1410,back garden,2,63,74,"Because we didn't have a reservation, we could only sit in the back garden, but it was great, secluded and perfect in nice weather."
1411,Japanese food,1,23,36,Stuffing yourself with Japanese food is a rare thing.
1412,food,2,10,14,While the food was good (certainly no Il Mulino) the service was horrendous.
1413,service,0,53,60,While the food was good (certainly no Il Mulino) the service was horrendous.
1414,price category,0,58,72,Service is not what one would expect from a joint in this price category.
1415,entertainment,2,42,55,Our family never expected such incredible entertainment in a restaurant.
1416,reservations,1,18,30,i would recommend reservations on weekends though.
1417,pizza,2,6,11,Great pizza for lunch place.
1418,lunch,0,47,52,The food was very expensive (we spent $160 for lunch for two) but extremely tasty.
1419,seved,2,30,35,We were a group of 8 and well seved.
1420,signs,2,4,9,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese."
1421,specials menus,2,15,29,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese."
1422,waitstaff,2,54,63,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese."
1423,scallop roll,2,19,31,"I LOVE their spicy scallop roll, and my boyfriend consistently gets the sesame chicken."
1424,sesame chicken,2,72,86,"I LOVE their spicy scallop roll, and my boyfriend consistently gets the sesame chicken."
1425,food,1,7,11,"I'm no food critic, but I'd like to think I have a tiny bit of experience under my belt having lived in NY for the last 11 years."
1426,bill,1,34,38,I noted it was crossed off on the bill.
1427,nori-wrapped tuna,2,13,30,Best dish is nori-wrapped tuna.
1428,dish,2,5,9,Best dish is nori-wrapped tuna.
1429,food,2,4,8,The food was absolutely amazing!!
1430,servers,0,5,12,Some servers make you feel like they are doing you a favor to bring you the food.
1431,food,1,76,80,Some servers make you feel like they are doing you a favor to bring you the food.
1432,fast food,0,28,37,"An excellent alternative to fast food joints and ordering in but, the food was slightly disappointing."
1433,food,0,70,74,"An excellent alternative to fast food joints and ordering in but, the food was slightly disappointing."
1434,seafood,2,59,66,Mermaid Inn is an overall good restaurant with really good seafood.
1435,staff,2,4,9,The staff is also attentive and friendly.
1436,all you can eat deal,2,4,24,The all you can eat deal is truly amazing here.
1437,dish,0,49,53,"That is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste."
1438,taste,1,97,102,"That is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste."
1439,dishes,0,74,80,"That is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste."
1440,meat patties in steamed buns,0,47,75,They were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.
1441,pizzas,2,11,17,All of the pizzas are terrific and the price is even better!
1442,price,2,39,44,All of the pizzas are terrific and the price is even better!
1443,FOOD,0,12,16,"It is about FOOD and Ambiance, and imagine how dreadful it will be it we only had to listen to an idle engine."
1444,Ambiance,0,21,29,"It is about FOOD and Ambiance, and imagine how dreadful it will be it we only had to listen to an idle engine."
1445,food,2,4,8,The food was good too.
1446,waiter,0,31,37,"Immediately after we paid, the waiter took the money and said, okay, you guys are outta here."
1447,dining room,2,4,15,The dining room is quietly elegant with no music to shout over -- how refreshing!
1448,music,2,43,48,The dining room is quietly elegant with no music to shout over -- how refreshing!
1449,sushi,2,144,149,"Admittedly, this is not the place for gigantic pieces of fish overflowing the plate (and thank goodness, in my opinion) but for simple, elegant sushi there is no better place in New York or anywhere in the US."
1450,fish,1,57,61,"Admittedly, this is not the place for gigantic pieces of fish overflowing the plate (and thank goodness, in my opinion) but for simple, elegant sushi there is no better place in New York or anywhere in the US."
1451,menu,2,4,8,The menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them.
1452,variety of dishes,2,31,48,The menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them.
1453,white bean brushetta,2,4,24,The white bean brushetta to start was incredible and the pasta was phenomenal.
1454,pasta,2,57,62,The white bean brushetta to start was incredible and the pasta was phenomenal.
1455,eats,2,54,58,The rest of the menu is limited by everything is good eats.
1456,menu,0,4,8,The menu is nothing like the one on the website.
1457,food,2,6,10,"Great food, great lay out and awesome service."
1458,lay out,2,18,25,"Great food, great lay out and awesome service."
1459,service,2,38,45,"Great food, great lay out and awesome service."
1460,cart attendant,0,12,26,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.
1461,rice,1,78,82,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.
1462,seated,2,43,49,We walked in on a Wednesday night and were seated promptly.
1463,wait staff,2,4,14,"The wait staff is very freindly, they make it feel like you're eating in a freindly little european town."
1464,food,2,55,59,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.
1465,feel,2,68,72,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.
1466,taste,2,42,47,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.
1467,price,2,26,31,"They have it all -- great price, food, and service."
1468,service,2,43,50,"They have it all -- great price, food, and service."
1469,flavors,2,4,11,"The flavors are great, and the menu is extensive."
1470,menu,2,31,35,"The flavors are great, and the menu is extensive."
1471,food,2,4,8,"The food was amazing, the service was so attentive and personable, and how about that ambience!"
1472,service,2,26,33,"The food was amazing, the service was so attentive and personable, and how about that ambience!"
1473,ambience,2,86,94,"The food was amazing, the service was so attentive and personable, and how about that ambience!"
1474,interior,2,24,32,"This place has the best interior I have seen anywhere in the northside of W'burg, and will impress whoever you bring there."
1475,place,2,5,10,"This place has the best interior I have seen anywhere in the northside of W'burg, and will impress whoever you bring there."
1476,food,2,4,8,The food has been consistant for years and it never lets you down.
1477,sashimi plate,2,27,40,I found the variety of the sashimi plate to be satisfying - fresh and yummy.
1478,atmosphere,1,39,49,"And forget what you read under me, the atmosphere isn't that bad either."
1479,waitress,0,71,79,"We couldn't carry our conversation as we were routinely interrupted by waitress and servants asking us to order and hinting that we're taking too much time -- amazing, we just sat down."
1480,servants,0,84,92,"We couldn't carry our conversation as we were routinely interrupted by waitress and servants asking us to order and hinting that we're taking too much time -- amazing, we just sat down."
1481,food,2,21,25,sometimes i get good food and ok service.
1482,service,1,33,40,sometimes i get good food and ok service.
1483,food,1,51,55,"It's a place for people who pay a lot for mediocre food, noise and a chance to be with their fellow bridge and tunnel folks."
1484,noise,0,57,62,"It's a place for people who pay a lot for mediocre food, noise and a chance to be with their fellow bridge and tunnel folks."
1485,chicken dish,0,28,40,"After complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like."
1486,manager,0,46,53,"After complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like."
1487,dish,1,154,158,"After complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like."
1488,food,2,4,8,The food was spicy and delicious.
1489,lunch,1,24,29,Went for a late weekday lunch.
1490,Bartender,0,0,9,Bartender was unable to tear himself away from friends at bar.
1491,bar,1,58,61,Bartender was unable to tear himself away from friends at bar.
1492,food,2,51,55,"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari."
1493,prix fixe lunch,2,19,34,Dahkin also offers prix fixe lunch and buffet.
1494,buffet,2,39,45,Dahkin also offers prix fixe lunch and buffet.
1495,food,2,74,78,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.
1496,service,2,87,94,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.
1497,drinks,1,63,69,Went on a double date with friend and his girlfriend for a few drinks and appetizers.
1498,appetizers,1,74,84,Went on a double date with friend and his girlfriend for a few drinks and appetizers.
1499,hot bagel,2,22,31,Great place to grab a hot bagel on the way to work.
1500,chicken,0,29,36,"It's like they took leftover chicken, poured oil and sprinkled pepper powder over it (the sauce was translucent and red)."
1501,oil,1,45,48,"It's like they took leftover chicken, poured oil and sprinkled pepper powder over it (the sauce was translucent and red)."
1502,pepper powder,1,63,76,"It's like they took leftover chicken, poured oil and sprinkled pepper powder over it (the sauce was translucent and red)."
1503,sauce,0,90,95,"It's like they took leftover chicken, poured oil and sprinkled pepper powder over it (the sauce was translucent and red)."
1504,waiter,0,87,93,"One would think we'd get an apology or complimentary drinks - instead, we got a snobby waiter wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so."
1505,drinks,1,53,59,"One would think we'd get an apology or complimentary drinks - instead, we got a snobby waiter wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so."
1506,food,1,68,72,"We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off."
1507,service,1,77,84,"We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off."
1508,tip,0,21,24,"We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off."
1509,glass of Sangria,2,32,48,We were looking forward to nice glass of Sangria when we arrived.
1510,table by the window,2,38,57,I would highly recommand requesting a table by the window.
1511,service,0,67,74,"While we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and SLOW service) and lack of remorse."
1512,waiter,0,76,82,"While we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and SLOW service) and lack of remorse."
1513,service,2,4,11,"The service, however, was a bright flower in a garden."
1514,menu,2,66,70,We've been to Grocery three times and not once has an item on the menu disappointed.
1515,food,2,4,8,"The food is very good too but for the most part, it's just regular food, nothing special."
1516,food,1,67,71,"The food is very good too but for the most part, it's just regular food, nothing special."
1517,jalapeno,2,13,21,A touch more jalapeno heat for contrast and it would have been very good indeed.
1518,pad see ew,1,10,20,Tried the pad see ew on the recommendation of the last reviewer since it's one of my favorite dishes.
1519,dishes,2,94,100,Tried the pad see ew on the recommendation of the last reviewer since it's one of my favorite dishes.
1520,back patio,2,18,28,"We ate out in the back patio, which is worth it as it's cool and the music is hear well there."
1521,music,2,69,74,"We ate out in the back patio, which is worth it as it's cool and the music is hear well there."
1522,location,2,4,12,The location is perfect.
1523,Guacamole+shrimp appetizer,2,0,26,"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared."
1524,filet,2,61,66,"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared."
1525,frites,0,100,106,"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared."
1526,filet,2,131,136,"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared."
1527,lunch special,2,4,17,The lunch special is an asbolute steal.
1528,food,1,5,9,This food is asian-air fusion.
1529,food,2,30,34,Nothing fancy but really good food with pretty reasonable price.
1530,price,2,58,63,Nothing fancy but really good food with pretty reasonable price.
1531,The chicken pot pie,2,0,19,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm."
1532,cheeseburger,2,39,51,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm."
1533,service,2,81,88,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm."
1534,food,2,24,28,"While I quite liked the food and the ambience, I'm not quite sure if it they really deserve it the Michelin rating they have displayed so prooudly in the window."
1535,ambience,2,37,45,"While I quite liked the food and the ambience, I'm not quite sure if it they really deserve it the Michelin rating they have displayed so prooudly in the window."
1536,dinner,1,9,15,Once for dinner and once for brunch.
1537,brunch,1,29,35,Once for dinner and once for brunch.
1538,prices,0,14,20,Not worth the prices.
1539,staff,2,80,85,From the moment you enter till the moment you walk out the friendly and helpful staff was was just Fantastic.
1540,Service,2,0,7,Service was good and food is wonderful.
1541,food,2,21,25,Service was good and food is wonderful.
1542,meal,2,111,115,The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal
1543,spicy ethnic foods,2,15,33,"being a fan of spicy ethnic foods, indian included, i made friends with this place long ago."
1544,snacking,1,10,18,And I say snacking because it really is not set up to be a proper dinner.
1545,quality of food,2,4,19,The quality of food at this restaurant accompanied  by fantastic live jazz makes this place a perfect 10!
1546,live jazz,2,65,74,The quality of food at this restaurant accompanied  by fantastic live jazz makes this place a perfect 10!
1547,food,2,38,42,"I have eaten at Saul, many times, the food is always consistently, outrageously good."
1548,SEASONAL beer,2,34,47,(Always ask the bartender for the SEASONAL beer!!!
1549,bartender,1,16,25,(Always ask the bartender for the SEASONAL beer!!!
1550,ambiance,2,35,43,"If your visiting, you'll enjoy the ambiance and the fact that it's in Time Sq..."
1551,food,1,82,86,"We were on our way back to NJ, and since I am in NY, we figured why not grab some food?"
1552,Service,1,0,7,Service and food is what any one would expect when spending that type of money.
1553,food,1,12,16,Service and food is what any one would expect when spending that type of money.
1554,course,2,6,12,Every course was better than the next.
1555,staff,2,4,9,The staff is incredibly helpful and attentive.
1556,Yellowtail,2,4,14,The Yellowtail was particularly good as well.
1557,clams oreganta,2,6,20,I ate clams oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil.
1558,salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil,2,37,120,I ate clams oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil.
1559,portions,0,18,26,"The menu changed, portions were even smaller than before, a lentil dish was salty beyond edibility, a basmati rice dish lacked flavor."
1560,lentil dish,0,60,71,"The menu changed, portions were even smaller than before, a lentil dish was salty beyond edibility, a basmati rice dish lacked flavor."
1561,flavor,0,127,133,"The menu changed, portions were even smaller than before, a lentil dish was salty beyond edibility, a basmati rice dish lacked flavor."
1562,cigar bar,2,24,33,Patroon features a nice cigar bar and has great staff.
1563,staff,2,48,53,Patroon features a nice cigar bar and has great staff.
1564,ambient,2,30,37,Very affordable and excellent ambient!
1565,sushi,2,20,25,"More important, the sushi rivals the best in Tokyo."
1566,cheescake,2,17,26,I have never had cheescake like this.
1567,delivery,0,45,53,"My co-workers had to wait almost an hour for delivery, only to discover that what they got was not what they ordered."
1568,entertaining,2,33,45,Its a go-to for dates as well as entertaining out of town guests.
1569,ambience,0,29,37,Why do people rave about the ambience.
1570,drink,1,40,45,Were meeting up with some friends for a drink at Lafayette 161 and happened to walk by Thai Angel famished.
1571,Fluke sashimi,2,0,13,"Fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish's sweetness."
1572,jalapeno-lime olive oil,2,28,51,"Fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish's sweetness."
1573,fruit of the oil,2,57,73,"Fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish's sweetness."
1574,sushi,2,6,11,Great sushi experience.
1575,meal,2,30,34,"If you're looking for a great meal at a decent price, go to Del Frisco's!"
1576,rice,0,22,26,They charge $6.00 for rice.
1577,steak au poivre,0,3,18,My steak au poivre was one of the worst I've had.
1578,staff,2,14,19,The owner and staff are all Japanese as well and that adds to the entire ambiance.
1579,ambiance,2,73,81,The owner and staff are all Japanese as well and that adds to the entire ambiance.
1580,congee,2,8,14,"Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread."
1581,bread,2,103,108,"Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread."
1582,donut like deep fried dough they call Ow Ley Soh,2,23,71,"Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread."
1583,candle-light,2,49,61,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate."
1584,food-quality,2,63,75,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate."
1585,service,2,80,87,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate."
1586,tables,0,13,19,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate."
1587,food,2,4,8,The food was delicious and the waiter was incredibly helpful and attentive (considering we were the only ones there for the first hour).
1588,waiter,2,31,37,The food was delicious and the waiter was incredibly helpful and attentive (considering we were the only ones there for the first hour).
1589,waitstaff,2,46,55,"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it."
1590,place,0,4,9,The place was real empty but that was because this was the first Sunday they ever opened.
1591,food,2,80,84,This little place definitely exceeded my expectations and you sure get a lot of food for your money.
1592,money,2,94,99,This little place definitely exceeded my expectations and you sure get a lot of food for your money.
1593,Ambience,2,0,8,"Ambience is delightful, service impeccable."
1594,service,2,24,31,"Ambience is delightful, service impeccable."
1595,AC,2,31,33,"Service was excellent, and the AC worked very well too (thank God, it was hot!)."
1596,people,2,27,33,You get the sense that the people there care about their restaurant and about your experience and that is very nice.
1597,cooks,2,24,29,"Both are delicious, the cooks are friendly and are willing to take a moment and speak to you and shake your hand."
1598,sushi rolls,2,40,51,My friend ordered some of their special sushi rolls which had excellent presentation and tasted great!
1599,prices,1,57,63,Although be warned their dinner menu to sit and take out prices are different.
1600,dinner menu to sit,1,25,43,Although be warned their dinner menu to sit and take out prices are different.
1601,staff,2,4,9,"The staff was accomodating, the food was absolutely delicious and the place is lovely."
1602,food,2,32,36,"The staff was accomodating, the food was absolutely delicious and the place is lovely."
1603,place,2,70,75,"The staff was accomodating, the food was absolutely delicious and the place is lovely."
1604,Scallion Pancake,2,17,33,"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy."
1605,vegetable juice,2,46,61,"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy."
1606,Guizhou Chicken,2,90,105,"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy."
1607,Shredded Squid Family Style,2,109,136,"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy."
1608,Sichuan Spicy Soft Shell Crab,2,171,200,"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy."
1609,Shuizhu Fish,2,204,216,"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy."
1610,Sichuan food,1,243,255,"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy."
1611,spinach mushroom calzone,0,68,92,They smell like they stuff them with old canned vegetables like the spinach mushroom calzone.
1612,Blue Point oysters,1,29,47,There was a great deal for 6 Blue Point oysters and a beer or glass of wine for $8!
1613,beer,1,54,58,There was a great deal for 6 Blue Point oysters and a beer or glass of wine for $8!
1614,glass of wine,1,62,75,There was a great deal for 6 Blue Point oysters and a beer or glass of wine for $8!
1615,noodle dishes,2,19,32,I really liked the noodle dishes at Rice Avenue compared to their Green Curry dish.
1616,prices,0,25,31,"But for whatever reason, prices are about twice as high."
1617,service,0,91,98,I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.
